settlement_id,reference_id,amount,currency,settled_date,bank_ref,status
STL-28289-0001,TXN-93810-0001,645.52,INR,2024-01-26,BANK-23434-0001,SETTLED
STL-14165-0002,TXN-98696-0002,3729.27,INR,2024-01-19,BANK-13905-0002,SETTLED
STL-95181-0003,TXN-22280-0003,1171.33,INR,2024-01-18,BANK-81426-0003,SETTLED
STL-65392-0004,TXN-64987-0004,1180.16,INR,2024-01-21,BANK-54597-0004,SETTLED
STL-59797-0005,TXN-46421-0005,861.85,INR,2024-01-27,BANK-22676-0005,SETTLED
STL-80284-0006,TXN-57052-0006,4252.72,INR,2024-01-22,BANK-26361-0006,SETTLED
STL-19116-0007,TXN-59615-0007,486.12,INR,2024-01-12,BANK-16006-0007,SETTLED
STL-59823-0008,TXN-96673-0008,1216.7,INR,2024-01-11,BANK-46434-0008,SETTLED
STL-37460-0009,TXN-69429-0009,3214.85,INR,2024-01-13,BANK-97841-0009,SETTLED
STL-80010-0010,TXN-44993-0010,3538.92,INR,2024-01-23,BANK-42087-0010,SETTLED
STL-40021-0011,TXN-31417-0011,2365.08,INR,2024-01-10,BANK-14207-0011,SETTLED
STL-37869-0012,TXN-51347-0012,2065.71,INR,2024-01-04,BANK-95909-0012,SETTLED
STL-28301-0013,TXN-75435-0013,2038.6,INR,2024-01-23,BANK-42325-0013,SETTLED
STL-57447-0014,TXN-83579-0014,2740.99,INR,2024-01-26,BANK-38746-0014,SETTLED
STL-92240-0015,TXN-28131-0015,2596.68,INR,2024-01-04,BANK-30969-0015,SETTLED
STL-79352-0016,TXN-99192-0016,2168.58,INR,2024-01-05,BANK-42953-0016,SETTLED
STL-94012-0017,TXN-82512-0017,4317.82,INR,2024-01-02,BANK-54587-0017,SETTLED
STL-75612-0018,TXN-24621-0018,1538.15,INR,2024-01-08,BANK-33416-0018,SETTLED
STL-30032-0019,TXN-76542-0019,4571.88,INR,2024-01-30,BANK-59009-0019,SETTLED
STL-74042-0020,TXN-31174-0020,2742.96,INR,2024-01-26,BANK-12552-0020,SETTLED
STL-41571-0021,TXN-24662-0021,4652.58,INR,2024-01-31,BANK-84364-0021,SETTLED
STL-26828-0022,TXN-20322-0022,519.7,INR,2024-01-17,BANK-96474-0022,SETTLED
STL-37760-0023,TXN-72296-0023,4739.56,INR,2024-01-08,BANK-80686-0023,SETTLED
STL-25860-0024,TXN-36365-0024,3593.45,INR,2024-01-15,BANK-42493-0024,SETTLED
STL-10942-0025,TXN-39451-0025,413.73,INR,2024-01-02,BANK-19305-0025,SETTLED
STL-77391-0026,TXN-92719-0026,388.48,INR,2024-01-04,BANK-41195-0026,SETTLED
STL-41850-0027,TXN-46500-0027,3377.99,INR,2024-01-08,BANK-71993-0027,SETTLED
STL-63883-0028,TXN-63354-0028,1033.01,INR,2024-01-06,BANK-71213-0028,SETTLED
STL-54473-0029,TXN-17100-0029,3399.49,INR,2024-01-22,BANK-24322-0029,SETTLED
STL-34050-0030,TXN-42591-0030,1038.79,INR,2024-01-20,BANK-46509-0030,SETTLED
STL-16630-0031,TXN-70637-0031,1324.05,INR,2024-01-05,BANK-95477-0031,SETTLED
STL-73653-0032,TXN-80855-0032,4196.54,INR,2024-01-04,BANK-73092-0032,SETTLED
STL-10282-0033,TXN-38016-0033,4336.79,INR,2024-01-30,BANK-61173-0033,SETTLED
STL-82845-0034,TXN-44760-0034,4639.94,INR,2024-01-28,BANK-96752-0034,SETTLED
STL-51104-0035,TXN-73788-0035,858.5,INR,2024-01-11,BANK-17492-0035,SETTLED
STL-34356-0036,TXN-16572-0036,2962.47,INR,2024-01-18,BANK-18981-0036,SETTLED
STL-84668-0037,TXN-87992-0037,433.01,INR,2024-01-29,BANK-42271-0037,SETTLED
STL-44179-0038,TXN-85880-0038,3013.14,INR,2024-01-21,BANK-36772-0038,SETTLED
STL-98039-0039,TXN-97782-0039,3609.34,INR,2024-01-10,BANK-94607-0039,SETTLED
STL-91416-0040,TXN-49321-0040,2340.4,INR,2024-01-26,BANK-83792-0040,SETTLED
STL-19602-0091,TXN-23104-0091,2450.0,INR,2024-02-02,BANK-80468-0091,SETTLED
STL-76307-0092,TXN-37938-0092,333.34,INR,2024-01-17,BANK-44760-0092,SETTLED
STL-55745-0093,TXN-27361-0093,333.33,INR,2024-01-17,BANK-19016-0093,SETTLED
STL-58434-0094,TXN-42018-0094,333.33,INR,2024-01-17,BANK-47353-0094,SETTLED
STL-67433-0096,TXN-30676-0095,875.0,INR,2024-01-22,BANK-81200-0096,SETTLED
STL-49651-0097,TXN-30676-0095,875.0,INR,2024-01-22,BANK-90173-0097,SETTLED
STL-79329-0098,TXN-95717-0098,-1200.0,INR,2024-01-25,BANK-11025-0098,REFUNDED
