transaction_id,customer_id,amount,currency,txn_date,payment_method,status,type
TXN-93810-0001,CUST-0008,645.52,INR,2024-01-24,upi,SUCCESS,PAYMENT
TXN-98696-0002,CUST-0019,3729.27,INR,2024-01-18,wallet,SUCCESS,PAYMENT
TXN-22280-0003,CUST-0018,1171.33,INR,2024-01-17,upi,SUCCESS,PAYMENT
TXN-64987-0004,CUST-0001,1180.16,INR,2024-01-19,upi,SUCCESS,PAYMENT
TXN-46421-0005,CUST-0004,861.85,INR,2024-01-25,card,SUCCESS,PAYMENT
TXN-57052-0006,CUST-0002,4252.72,INR,2024-01-20,wallet,SUCCESS,PAYMENT
TXN-59615-0007,CUST-0019,486.12,INR,2024-01-10,upi,SUCCESS,PAYMENT
TXN-96673-0008,CUST-0008,1216.7,INR,2024-01-10,card,SUCCESS,PAYMENT
TXN-69429-0009,CUST-0012,3214.85,INR,2024-01-12,netbanking,SUCCESS,PAYMENT
TXN-44993-0010,CUST-0020,3538.92,INR,2024-01-22,upi,SUCCESS,PAYMENT
TXN-31417-0011,CUST-0011,2365.08,INR,2024-01-09,card,SUCCESS,PAYMENT
TXN-51347-0012,CUST-0019,2065.71,INR,2024-01-03,netbanking,SUCCESS,PAYMENT
TXN-75435-0013,CUST-0005,2038.6,INR,2024-01-21,netbanking,SUCCESS,PAYMENT
TXN-83579-0014,CUST-0019,2740.99,INR,2024-01-24,wallet,SUCCESS,PAYMENT
TXN-28131-0015,CUST-0004,2596.68,INR,2024-01-03,upi,SUCCESS,PAYMENT
TXN-99192-0016,CUST-0013,2168.58,INR,2024-01-03,wallet,SUCCESS,PAYMENT
TXN-82512-0017,CUST-0018,4317.82,INR,2024-01-01,netbanking,SUCCESS,PAYMENT
TXN-24621-0018,CUST-0001,1538.15,INR,2024-01-06,netbanking,SUCCESS,PAYMENT
TXN-76542-0019,CUST-0017,4571.88,INR,2024-01-28,upi,SUCCESS,PAYMENT
TXN-31174-0020,CUST-0020,2742.96,INR,2024-01-25,netbanking,SUCCESS,PAYMENT
TXN-24662-0021,CUST-0008,4652.58,INR,2024-01-29,card,SUCCESS,PAYMENT
TXN-20322-0022,CUST-0018,519.7,INR,2024-01-16,upi,SUCCESS,PAYMENT
TXN-72296-0023,CUST-0017,4739.56,INR,2024-01-06,wallet,SUCCESS,PAYMENT
TXN-36365-0024,CUST-0015,3593.45,INR,2024-01-13,wallet,SUCCESS,PAYMENT
TXN-39451-0025,CUST-0019,413.73,INR,2024-01-01,upi,SUCCESS,PAYMENT
TXN-92719-0026,CUST-0011,388.48,INR,2024-01-03,card,SUCCESS,PAYMENT
TXN-46500-0027,CUST-0019,3377.99,INR,2024-01-07,wallet,SUCCESS,PAYMENT
TXN-63354-0028,CUST-0012,1033.01,INR,2024-01-04,wallet,SUCCESS,PAYMENT
TXN-17100-0029,CUST-0002,3399.49,INR,2024-01-21,wallet,SUCCESS,PAYMENT
TXN-42591-0030,CUST-0005,1038.79,INR,2024-01-18,wallet,SUCCESS,PAYMENT
TXN-70637-0031,CUST-0018,1324.05,INR,2024-01-03,card,SUCCESS,PAYMENT
TXN-80855-0032,CUST-0006,4196.54,INR,2024-01-03,wallet,SUCCESS,PAYMENT
TXN-38016-0033,CUST-0006,4336.79,INR,2024-01-29,wallet,SUCCESS,PAYMENT
TXN-44760-0034,CUST-0010,4639.94,INR,2024-01-26,wallet,SUCCESS,PAYMENT
TXN-73788-0035,CUST-0002,858.5,INR,2024-01-10,card,SUCCESS,PAYMENT
TXN-16572-0036,CUST-0002,2962.47,INR,2024-01-17,card,SUCCESS,PAYMENT
TXN-87992-0037,CUST-0013,433.01,INR,2024-01-28,card,SUCCESS,PAYMENT
TXN-85880-0038,CUST-0014,3013.14,INR,2024-01-20,netbanking,SUCCESS,PAYMENT
TXN-97782-0039,CUST-0013,3609.34,INR,2024-01-08,upi,SUCCESS,PAYMENT
TXN-49321-0040,CUST-0001,2340.4,INR,2024-01-25,wallet,SUCCESS,PAYMENT
TXN-23104-0091,CUST-0001,2450.0,INR,2024-01-31,card,SUCCESS,PAYMENT
TXN-37938-0092,CUST-0002,333.335,INR,2024-01-15,upi,SUCCESS,PAYMENT
TXN-27361-0093,CUST-0002,333.335,INR,2024-01-15,upi,SUCCESS,PAYMENT
TXN-42018-0094,CUST-0002,333.335,INR,2024-01-15,upi,SUCCESS,PAYMENT
TXN-30676-0095,CUST-0005,875.0,INR,2024-01-20,netbanking,SUCCESS,PAYMENT
